emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,id
-0.19291042,-0.027128028,0.10851211,0.19986159,-0.07111111,0.06299116,-0.03254133,-0.103406385,0.055363324,-0.11374087,-0.18608227,-0.010396002,-0.19986159,-0.03254133,-0.041584007,0.055363324,-0.0009842368,0.2214533,0.007443291,-0.07972319,0.048227604,0.059115727,-0.07972319,0.13588619,-0.059115727,0.09356401,-0.13016532,-0.30142254,0.05173395,0.153787,-0.01574779,-0.075355634,0.07972319,-0.153787,-0.28444445,0.05173395,-0.2069358,-0.06299116,-0.07111111,-0.08882737,-0.00615148,-0.06299116,0.008858131,0.11374087,0.11909266,0.14769705,-0.06299116,-0.0039369473,0.21413302,-0.07111111,-0.103406385,0.07111111,-0.07972319,0.19291042,0.153787,-0.10851211,-0.03254133,0.13588619,0.2069358,-0.31889275,-0.075355634,-0.017777778,0.08882737,-0.035432525,73
0.075355634,0.019930797,0.010396002,0.14769705,0.12456747,-0.13016532,-0.19986159,0.1417301,0.022206843,-0.044844292,0.13588619,0.11374087,-0.3100961,0.055363324,-0.13588619,-0.13016532,0.00615148,-0.059115727,-0.19986159,0.012056901,-0.13588619,-0.044844292,0.06698962,-0.08882737,0.075355634,-0.06299116,0.19986159,-0.09842368,-0.2364629,-0.03844675,0.16633603,0.18608227,0.17279507,-0.035432525,-0.16,0.02460592,-0.25196463,0.0022145328,0.07972319,-0.012056901,-0.11909266,-0.06299116,-0.035432525,0.16633603,-0.044844292,0.09842368,-0.09842368,0.19291042,-0.10851211,0.11374087,-0.0022145328,-0.14769705,0.06698962,0.11909266,0.1417301,-0.03254133,-0.08882737,-0.16633603,-0.17279507,-0.2214533,0.11374087,0.022206843,-0.055363324,-0.017777778,76
-0.012056901,-0.048227604,0.16,-0.06698962,-0.25196463,0.07111111,0.013840831,0.11909266,-0.10851211,-0.019930797,0.153787,0.07111111,-0.2069358,0.16,-0.035432525,0.22889657,0.08421376,0.07972319,-0.1417301,0.07972319,-0.25990003,0.18608227,0.17937717,0.08421376,0.09356401,-0.075355634,0.2069358,-0.07972319,-0.19291042,0.2364629,0.041584007,0.08882737,-0.17279507,-0.02460592,-0.019930797,-0.03844675,-0.18608227,0.10851211,0.17279507,0.010396002,0.153787,-0.12456747,-0.16,0.19291042,0.013840831,0.09842368,0.041584007,-0.048227604,-0.008858131,-0.0005536332,0.059115727,0.06698962,-0.13016532,0.05173395,0.09356401,-0.035432525,0.09356401,-0.059115727,-0.1417301,-0.19986159,0.007443291,0.09842368,0.05173395,0.17279507,80
0.029773165,-0.14769705,0.013840831,-0.08421376,-0.07111111,-0.1417301,-0.055363324,0.16633603,0.103406385,-0.017777778,0.103406385,0.044844292,-0.17937717,-0.075355634,-0.2364629,0.01574779,0.06698962,-0.05173395,0.013840831,-0.03254133,0.13016532,-0.08882737,0.05173395,-0.16,-0.027128028,0.2069358,-0.13588619,0.0022145328,0.31889275,-0.075355634,0.08882737,0.029773165,0.11909266,0.017777778,-0.11374087,0.11909266,0.2679585,-0.012056901,-0.03254133,0.048227604,-0.16,-0.01574779,-0.2364629,0.19291042,0.048227604,0.09842368,0.12456747,-0.25196463,0.13016532,-0.13016532,0.11909266,-0.103406385,-0.08882737,0.048227604,0.11374087,0.18608227,0.17937717,-0.0009842368,-0.027128028,-0.09842368,-0.18608227,0.1417301,0.1417301,0.03254133,82
-0.044844292,-0.14769705,-0.029773165,-0.059115727,0.07111111,-0.059115727,-0.1417301,0.24415225,0.075355634,0.14769705,0.02460592,-0.103406385,-0.027128028,-0.08421376,-0.17279507,0.2214533,-0.0002460592,-0.041584007,-0.11909266,0.05173395,-0.05173395,-0.13016532,0.16633603,-0.059115727,0.027128028,0.059115727,-0.013840831,-0.08882737,0.12456747,0.16,0.07111111,0.13016532,0.21413302,-0.017777778,0.012056901,0.19986159,0.13016532,0.19291042,-0.0039369473,-0.027128028,-0.06698962,0.017777778,-0.12456747,-0.09842368,0.08882737,0.01574779,0.07111111,-0.25196463,-0.10851211,-0.17937717,0.25196463,-0.18608227,-0.10851211,0.14769705,0.1417301,0.08421376,-0.18608227,-0.22889657,-0.16633603,0.11374087,-0.08421376,0.07111111,-0.11909266,0.11909266,84
0.16,-0.048227604,0.022206843,-0.09842368,-0.09842368,-0.13588619,-0.153787,0.24415225,0.17279507,0.041584007,0.09842368,0.16,-0.07972319,-0.027128028,-0.11909266,-0.11909266,0.012056901,-0.029773165,0.11374087,-0.03254133,0.153787,-0.044844292,0.08421376,-0.041584007,0.0009842368,0.16633603,-0.21413302,0.06698962,0.25196463,0.029773165,0.16633603,0.16,0.1417301,0.013840831,-0.12456747,0.019930797,0.19986159,-0.05173395,0.08421376,0.17937717,-0.25990003,-0.019930797,-0.12456747,0.14769705,0.027128028,0.08421376,0.08882737,-0.24415225,0.24415225,-0.05173395,0.022206843,-0.14769705,-0.03254133,-0.035432525,0.08421376,0.05173395,0.17279507,0.13588619,-0.11374087,-0.048227604,-0.103406385,0.11909266,0.044844292,0.1417301,86
0.035432525,0.08882737,-0.21413302,-0.027128028,-0.06698962,-0.059115727,0.08882737,0.08882737,-0.012056901,-0.11909266,0.09356401,-0.07972319,-0.06698962,-0.10851211,0.01574779,-0.14769705,0.044844292,0.2214533,-0.029773165,0.07972319,0.10851211,0.22889657,-0.22889657,0.13016532,-0.06299116,-0.013840831,0.153787,0.09842368,-0.103406385,-0.013840831,-0.013840831,-0.06698962,0.048227604,-0.044844292,-0.09842368,0.059115727,-0.05173395,-0.16,-0.103406385,0.22889657,-0.17937717,-0.06698962,-0.19986159,0.027128028,-0.06299116,-0.21413302,0.041584007,-0.09842368,-0.16633603,-0.12456747,0.13016532,-0.035432525,-0.03254133,0.36472127,-0.153787,-0.029773165,0.103406385,-0.09356401,-0.041584007,-0.25990003,-0.08882737,0.004982699,-0.075355634,-0.19986159,88
0.103406385,-0.1417301,0.13016532,-0.1417301,-0.09842368,-0.22889657,-0.06698962,0.34602076,-0.035432525,0.03844675,-0.07972319,0.02460592,-0.059115727,0.055363324,-0.013840831,0.048227604,0.07111111,0.153787,-0.14769705,-0.13016532,-0.07972319,0.09356401,-0.14769705,-0.103406385,0.048227604,-0.17937717,0.14769705,0.059115727,0.055363324,0.16633603,0.029773165,-0.029773165,-0.09842368,0.18608227,-0.2214533,-0.17279507,-0.12456747,-0.08421376,0.14769705,-0.103406385,0.07972319,0.153787,-0.103406385,-0.103406385,-0.029773165,0.055363324,-0.07972319,0.30142254,-0.09842368,-0.27613994,0.12456747,-0.06698962,0.007443291,-0.06698962,0.041584007,-0.007443291,0.05173395,-0.13016532,0.05173395,-0.10851211,0.153787,-0.06299116,0.12456747,0.008858131,94
0.03844675,-0.09356401,0.11909266,0.09842368,-0.007443291,0.10851211,0.12456747,0.11909266,-0.017777778,0.06299116,0.010396002,-0.03844675,-0.17937717,-0.010396002,0.03254133,0.059115727,-0.18608227,0.11909266,-0.17279507,-0.1417301,0.03254133,-0.10851211,0.10851211,0.09356401,-0.00615148,-0.044844292,0.03844675,0.19986159,0.08882737,-0.022206843,0.153787,-0.07972319,0.16,-0.09842368,-0.17279507,0.19986159,0.06299116,0.03844675,-0.17937717,0.16,0.31889275,-0.32781237,-0.103406385,-0.103406385,0.10851211,0.055363324,-0.041584007,-0.075355634,-0.029773165,0.07972319,-0.2069358,0.12456747,-0.06698962,-0.07972319,-0.041584007,-0.28444445,-0.008858131,-0.022206843,-0.09356401,-0.048227604,0.1417301,-0.06698962,0.19291042,0.11909266,100
0.041584007,-0.13588619,0.03844675,0.06299116,0.035432525,0.08882737,-0.027128028,0.013840831,-0.013840831,-0.09356401,0.03254133,-0.09356401,-0.07111111,-0.08882737,-0.02460592,-0.17937717,-0.25990003,0.044844292,-0.035432525,-0.16,-0.1417301,0.048227604,-0.041584007,-0.022206843,-0.19291042,0.09356401,0.16,-0.2069358,0.06299116,0.153787,0.013840831,-0.11909266,0.13588619,-0.2214533,0.03844675,0.12456747,0.041584007,-0.03254133,0.035432525,-0.25196463,0.11909266,-0.12456747,0.055363324,-0.2679585,-0.041584007,0.19986159,0.1417301,-0.05173395,-0.06299116,-0.2679585,-0.048227604,0.16,0.055363324,0.10851211,0.03254133,0.103406385,-0.32781237,-0.12456747,-0.055363324,-0.08421376,-0.035432525,0.05173395,0.153787,0.12456747,104
