total_population,pop_density,maxdist_road,meandist_road,id
0,0,50000,50000,7377
17,10,3384,2574,7394
57,35,698,233,7400
0,0,2688,1855,7401
4,2,2855,2021,7415
246,151,959,297,7420
2,1,1239,438,7422
52,32,5158,4518,7432
0,0,954,348,7465
0,0,50000,50000,7470
257,157,5435,4695,7491
0,0,1204,642,7510
0,0,4915,4283,7514
13,8,13718,13037,7545
0,0,13911,13092,7563
0,0,50000,50000,7565
0,0,50000,50000,7583
0,0,10808,9968,7590
92,56,3999,3221,7659
0,0,1625,1039,7660
0,0,13774,13077,7678
0,0,21356,20677,7680
5,3,4169,3355,7686
1,1,10878,10077,7687
2,1,12864,12150,7693
4,2,673,313,7701
0,0,12556,11681,7720
10,6,18471,17636,7727
171,104,614,162,7730
16,10,1722,1041,7732
0,0,50000,50000,7754
5,3,12440,11596,7796
0,0,50000,50000,7805
6,3,26822,26022,7807
0,0,8049,7323,7809
0,0,2150,1385,7822
0,0,50000,50000,7830
0,0,21353,20546,7833
17,10,1255,848,7837
6,4,3169,2302,7847
0,0,5472,4804,7855
0,0,50000,50000,7858
0,0,10870,10006,7861
0,0,2862,2219,7866
8,5,5200,4363,7869
0,0,19632,18822,7880
27,16,1112,355,7886
3,2,726,320,7892
0,0,18100,17411,7913
79,48,2714,1906,7914
0,0,24651,23770,7942
0,0,50000,50000,7944
0,0,4458,3572,7948
0,0,43454,42588,7949
316,194,879,354,7963
6,4,8662,8022,7976
7,4,765,316,7997
0,0,2153,1522,7999
0,0,47285,46451,8002
35,21,5899,5205,8029
970,595,973,361,8032
0,0,7280,6444,8044
89,54,3061,2279,8051
0,0,50000,50000,8052
38,23,7864,7029,8060
25,15,1570,743,8070
5,3,7066,6373,8075
0,0,5710,4941,8084
6,4,977,297,8108
972,596,1723,1098,8116
0,0,1235,539,8137
0,0,1702,828,8143
0,0,12086,11410,8160
0,0,23977,23319,8186
115,71,8780,7989,8190
55,34,3503,2606,8193
288,176,730,220,8194
43,26,691,343,8208
57,35,3424,2705,8215
3,2,6877,6020,8216
179,110,1547,997,8227
1,0,11827,11116,8241
0,0,16737,15881,8244
0,0,4686,3848,8253
567,348,1376,540,8254
2,1,4579,3770,8268
0,0,33004,32272,8283
2,1,4004,3332,8289
101,62,2870,2230,8299
0,0,17247,16370,8303
0,0,17080,16368,8318
160,98,2945,2445,8327
6,4,21459,20613,8331
723,443,524,134,8335
56,34,1840,927,8341
21,13,1013,393,8343
0,0,3965,3216,8346
1,0,7288,6476,8357
0,0,1889,1258,8382
0,0,50000,50000,8384
2,1,5788,5147,8386
6,3,2515,1889,8388
0,0,9398,8710,8397
0,0,32729,32022,8422
0,0,50000,50000,8435
4,3,7010,6306,8439
0,0,3880,3255,8444
7,4,8625,7752,8452
9,5,22092,21445,8466
22,13,1082,372,8494
42,26,2268,1864,8504
1,1,7859,7123,8512
2,1,7153,6308,8518
39,24,4643,4005,8520
0,0,26132,25421,8546
0,0,3877,2984,8554
1,0,1061,510,8565
0,0,50000,50000,8588
1,1,3350,2675,8601
117,72,4649,3820,8608
0,0,3190,2361,8609
12,7,3824,2912,8617
245,150,2133,1756,8623
0,0,50000,50000,8627
2,1,21369,20592,8637
0,0,50000,50000,8652
75,46,10013,9166,8655
0,0,996,344,8656
111,68,1848,1165,8659
0,0,26833,26120,8684
300,184,4323,3671,8687
0,0,12893,12145,8694
0,0,9224,8435,8727
136,83,8111,7345,8735
0,0,8266,7395,8740
4,2,3560,2877,8752
77,47,1029,376,8758
0,0,4653,3851,8759
1,1,2109,1229,8787
0,0,29809,29105,8804
1,1,8192,7562,8808
0,0,43198,42324,8809
1,0,1464,757,8822
3,2,1656,1022,8825
0,0,50000,50000,8829
0,0,48987,48180,8841
2,1,1880,1240,8845
0,0,50000,50000,8863
0,0,38388,37560,8865
0,0,50000,50000,8870
0,0,36964,36079,8878
582,357,1125,622,8881
2,1,3318,2489,8890
13,8,751,322,8891
0,0,3223,2375,8904
0,0,50000,50000,8909
0,0,9439,8720,8917
29,17,1013,340,8920
0,0,50000,50000,8923
0,0,26054,25389,8939
0,0,36975,36203,8949
0,0,1269,596,8950
0,0,50000,50000,8953
0,0,50000,50000,8964
33,20,1542,847,8975
2,1,14313,13622,8976
0,0,6772,6088,8981
1296,795,5004,4244,8982
1,0,4116,3504,9004
0,0,2072,1396,9021
0,0,6610,5946,9024
3,2,2741,1953,9042
247,151,3166,2438,9065
0,0,12837,12009,9069
0,0,5623,4767,9079
0,0,7084,6324,9098
334,205,1141,494,9116
2829,1736,2611,2124,9117
11,6,39374,38518,9120
3,1,2321,1687,9133
126,77,4358,3628,9135
3,1,3184,2489,9137
181,111,2296,1472,9143
0,0,5697,4862,9146
0,0,10901,10046,9150
0,0,50000,50000,9151
0,0,1369,668,9166
27,16,1400,727,9195
43,26,3608,2959,9197
6,3,5187,4313,9204
0,0,3769,3067,9205
0,0,27322,26412,9218
0,0,11261,10584,9227
298,183,2605,1817,9229
45,27,6203,5335,9239
0,0,50000,50000,9255
0,0,45651,44838,9258
0,0,4429,3639,9262
59,36,2262,1415,9263
