total_population,pop_density,maxdist_road,meandist_road,id
0,0,50000,50000,7150
0,0,29268,28531,7157
0,0,50000,50000,7160
1,0,1095,408,7173
0,0,50000,50000,7176
0,0,50000,50000,7186
0,0,50000,50000,7187
0,0,50000,50000,7188
0,0,8470,7593,7196
0,0,50000,50000,7199
44,27,5123,4413,7213
0,0,1006,428,7217
0,0,9315,8466,7237
0,0,28739,27887,7238
44,27,1399,1006,7247
485,298,1123,481,7255
3,2,4042,3396,7297
0,0,4028,3228,7300
0,0,5382,4515,7301
10,6,4685,3912,7304
1,1,5893,5117,7319
304,187,1703,1007,7320
1252,768,618,281,7332
2,1,50000,50000,7336
271,166,2913,2106,7337
2,1,1979,1318,7346
1,0,2365,1536,7348
0,0,903,300,7349
0,0,3171,2506,7359
902,553,3073,2319,7383
3,1,24380,23687,7404
0,0,50000,50000,7412
4,2,1513,579,7428
0,0,50000,50000,7437
0,0,7020,6272,7441
3,2,2497,1865,7443
337,207,3679,3251,7447
0,0,50000,50000,7448
167,103,1561,742,7459
13,8,2561,1820,7467
20,12,6918,6220,7496
5,3,1074,483,7501
590,362,1729,851,7505
0,0,50000,50000,7508
0,0,20205,19536,7509
9985,6128,336,58,7511
0,0,9889,9165,7521
0,0,45755,45062,7525
0,0,48142,47331,7530
0,0,50000,50000,7538
93,57,2270,1475,7577
1,0,6266,5407,7582
56,34,1226,433,7599
0,0,5549,4704,7600
1988,1220,986,380,7613
0,0,37861,37134,7620
0,0,50000,50000,7642
22,14,2017,1388,7649
900,552,917,311,7664
178,109,5423,4616,7665
5182,3180,878,274,7667
0,0,50000,50000,7672
0,0,50000,50000,7702
102,62,7443,6693,7715
0,0,11551,10790,7719
0,0,2393,1539,7723
2673,1640,948,398,7739
3,2,1413,788,7768
0,0,50000,50000,7771
0,0,5248,4565,7791
78,48,1998,1181,7795
225,138,3416,2801,7811
3,1,6485,5729,7823
0,0,14110,13486,7868
307,188,1411,937,7882
27,16,1112,355,7886
353,216,6305,5457,7902
346,212,1977,1161,7903
0,0,14936,14273,7932
0,0,50000,50000,7938
0,0,6388,5509,7958
1465,899,371,73,7984
0,0,3049,2296,7986
0,0,2153,1522,7999
0,0,50000,50000,8006
577,354,594,129,8009
702,431,1460,728,8012
1,0,1921,1205,8023
0,0,36884,36206,8024
35,21,5899,5205,8029
970,595,973,361,8032
0,0,6455,5821,8046
38,23,3984,3179,8053
0,0,24576,23907,8057
0,0,50000,50000,8079
0,0,12034,11210,8087
0,0,31810,30980,8097
0,0,9499,8616,8128
0,0,50000,50000,8136
0,0,50000,50000,8138
0,0,49999,49832,8155
53,32,2209,1357,8158
0,0,1905,1203,8165
1755,1077,804,248,8171
502,308,847,332,8183
4,2,1954,1064,8189
76,46,4544,3679,8204
0,0,8836,7987,8205
43,26,691,343,8208
18,11,3581,2753,8223
0,0,15193,14322,8245
221,135,2368,1892,8249
10,6,2820,2024,8260
0,0,3965,3338,8265
0,0,7487,6844,8271
51,31,4651,3832,8288
0,0,5721,5042,8292
655,402,946,428,8293
806,495,1503,632,8304
0,0,50000,50000,8312
23,14,39776,39035,8325
1,0,1604,924,8329
1,0,31890,31030,8332
0,0,50000,50000,8333
723,443,524,134,8335
3,2,2964,2184,8344
2678,1643,2242,1737,8348
75,46,1700,877,8400
1516,930,300,104,8405
0,0,50000,50000,8414
0,0,6898,6021,8430
2290,1405,614,230,8438
4,3,7010,6306,8439
0,0,4335,3474,8457
1914,1175,583,176,8460
0,0,40791,40050,8463
27,16,1980,1236,8472
3,2,1571,733,8478
786,482,1320,892,8481
47,29,2445,1634,8488
1,1,2921,2142,8490
22,13,1082,372,8494
6,3,12760,11951,8510
0,0,50000,50000,8517
75,46,1149,455,8555
23,14,1383,501,8563
0,0,11694,10918,8579
7,4,3259,2618,8582
26,16,10494,9631,8615
0,0,1510,729,8626
0,0,2751,1896,8634
6,4,5087,4229,8640
22,13,2566,1917,8643
365,224,1448,582,8646
0,0,5543,4837,8654
0,0,996,344,8656
111,68,1848,1165,8659
2,1,12129,11492,8674
127,78,1918,1047,8686
0,0,5794,4910,8688
0,0,50000,50000,8692
20,12,946,308,8712
0,0,50000,50000,8713
0,0,6671,5869,8718
33,20,16916,16046,8719
0,0,1702,879,8728
101,62,3488,2703,8731
1,0,6314,5464,8761
0,0,50000,50000,8762
7,4,40287,39449,8763
0,0,50000,50000,8774
1,0,1926,1250,8778
0,0,9534,8826,8784
3,1,4290,3533,8793
0,0,49776,48892,8798
1286,789,3405,2809,8819
7,4,1432,725,8834
0,0,48987,48180,8841
6,3,2681,2045,8853
3112,1910,556,83,8869
0,0,50000,50000,8870
0,0,43590,42718,8897
1225,752,949,331,8912
159,98,5875,5189,8941
857,526,7101,6293,8942
4,2,1191,418,8947
132,81,1023,341,8957
83,51,1155,682,8974
0,0,50000,50000,8980
304,186,988,260,8998
0,0,50000,50000,9000
0,0,23100,22217,9005
0,0,50000,50000,9020
693,425,772,256,9031
780,478,2796,2076,9053
0,0,28623,27810,9054
0,0,36237,35416,9060
0,0,10440,9613,9064
247,151,3166,2438,9065
135,82,1271,574,9071
430,264,3499,2792,9092
296,182,1433,798,9094
0,0,7084,6324,9098
334,205,1141,494,9116
3,2,7860,7176,9123
3,1,2214,1350,9128
0,0,50000,50000,9165
0,0,19985,19300,9168
0,0,50000,50000,9175
0,0,49999,49585,9177
0,0,1916,1243,9203
564,346,1055,338,9212
0,0,50000,50000,9216
2,1,2853,2137,9217
0,0,11261,10584,9227
1169,717,2336,1532,9230
1388,852,1052,375,9234
904,555,546,160,9238
0,0,4199,3455,9240
862,529,992,459,9250
65,40,7966,7335,9259
0,0,4429,3639,9262
22,14,7717,7088,9290
28,17,5720,5074,9293
0,0,50000,50000,9298
11,6,4337,3569,9306
13,8,7353,6632,9320
0,0,50000,50000,9321
0,0,2300,1562,9331
134,82,1310,605,9332
32,19,5036,4317,9341
24,14,846,313,9344
47,29,1060,665,9355
0,0,50000,50000,9356
47,29,7236,6901,9357
11,7,1403,842,9363
371,227,896,378,9371
68,42,6153,5373,9416
1,0,6464,5603,9476
444,272,2069,1475,9508
197,121,3241,2379,9516
575,352,1241,512,9534
28,17,2437,1748,9538
3,2,3550,2771,9540
17,10,15552,14913,9553
0,0,50000,50000,9570
0,0,11149,10263,9586
2580,1583,1653,1063,9607
0,0,50000,50000,9617
23,14,1599,736,9640
4250,2608,928,303,9643
0,0,8623,7739,9648
15,9,2852,2011,9651
16,10,961,322,9656
0,0,30043,29382,9663
18,11,1219,431,9687
1032,633,1711,906,9694
117,71,2206,1481,9702
0,0,50000,50000,9705
0,0,24994,24121,9726
0,0,6941,6186,9729
0,0,8153,7275,9739
679,417,972,438,9759
229,141,2020,1119,9762
1595,979,364,104,9773
112,68,763,227,9779
1,0,4315,3758,9793
198,121,5118,4465,9808
0,0,50000,50000,9810
0,0,24488,23729,9824
834,511,729,242,9829
8,4,15639,14828,9846
0,0,724,259,9868
32,19,3384,2717,9869
